random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.8739669421487604,1,407,0.7071504865037695,1,1,1,1,1,1,1,0,1,1,1,1,1,0
3,1,[None],0.6694214876033058,1,448,1.0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
3,2,[None],0.7283057851239669,1,16,0.6430370921816693,1,0,0,0,1,1,1,1,1,0,0,0,0,0
9,0,[None],0.6239669421487604,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9,1,[None],0.7520661157024793,3,29,0.028245552794630632,0,1,0,1,0,0,1,0,0,1,0,0,0,1
9,2,[None],0.7448347107438017,6,369,0.8987598480537784,0,1,1,1,1,0,1,0,1,1,0,1,0,0
27,0,[None],0.8161157024793388,3,163,0.729876572159726,1,0,0,0,1,0,1,0,0,0,0,0,0,1
27,1,[None],0.6704545454545455,1,407,1.0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
27,2,[None],0.8057851239669421,1,454,0.5483896412551759,1,0,0,0,0,1,0,1,1,0,0,1,1,1
81,0,[None],0.8502066115702479,1,345,0.4150513484610965,1,0,1,1,1,0,0,0,0,0,0,0,0,0
81,1,[None],0.5950413223140496,1,135,0.001,1,1,1,1,1,1,1,1,0,1,1,1,1,1
81,2,[None],0.7789256198347108,2,464,0.7743956373636137,0,1,0,1,1,1,0,1,1,1,0,1,1,1
243,0,[None],0.7293388429752066,1,16,0.639381589687304,1,1,0,1,1,0,0,1,1,1,0,0,0,0
243,1,[None],0.6270661157024794,2,356,0.7610242635682806,1,0,0,0,1,0,1,0,0,1,1,1,1,1
243,2,[None],0.6528925619834711,1,433,0.5968362784656372,1,1,1,1,1,1,1,1,1,1,1,0,0,1
729,0,[None],0.6807851239669421,5,240,0.5768087939109838,0,1,1,0,1,1,0,0,1,1,1,1,0,0
729,1,[None],0.9008264462809917,1,16,0.6367740008525166,1,1,0,1,1,1,0,0,0,1,0,0,0,0
729,2,[None],0.8119834710743802,2,169,0.9429667942086066,1,1,1,1,0,1,1,1,1,1,0,0,0,1
2187,0,[None],0.8099173553719008,1,16,0.6941360898547894,1,1,1,1,1,0,0,0,1,0,0,0,0,1
2187,1,[None],0.5723140495867769,2,169,0.8393999712124963,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.5,5,485,0.9610615571813307,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6561,0,[None],0.8264462809917354,1,406,0.3049394891409013,0,0,0,0,1,1,0,1,1,0,1,1,1,0
6561,1,[None],0.8181818181818182,1,432,0.6730923941931771,1,1,0,0,1,1,1,1,1,0,0,0,0,0
6561,2,[None],0.7231404958677686,8,430,0.007945178400659513,0,1,1,0,0,1,1,1,1,1,1,0,1,0
19683,0,[None],0.7520661157024793,1,169,0.9767797532535595,1,0,0,0,1,1,0,1,0,0,0,0,0,0
19683,1,[None],0.7479338842975207,4,475,0.6285331444711169,1,0,1,1,1,1,0,0,0,1,0,1,0,1
19683,2,[None],0.5785123966942148,3,19,0.609954769645917,1,1,1,0,1,1,1,1,1,1,1,1,1,0
59049,0,[None],0.8326446280991735,6,86,0.06598654139229423,0,1,1,0,1,0,0,0,1,1,1,1,1,1
59049,1,[None],0.609504132231405,3,259,0.7033159399362827,1,1,1,1,0,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7582644628099173,9,300,0.46082036115002734,1,1,0,1,1,1,1,1,1,1,0,0,1,0
