random_seed,fold,threshold,roc_auc,n_neighbors,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.6136363636363635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.7107438016528925,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
3,2,[None],0.5795454545454546,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9,0,[None],0.6136363636363635,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.7200413223140496,11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
9,2,[None],0.6394628099173554,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
27,0,[None],0.590909090909091,39,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
27,1,[None],0.6900826446280992,19,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
27,2,[None],0.6973140495867768,3,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.7417355371900826,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
81,1,[None],0.7324380165289256,9,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1
81,2,[None],0.6126033057851239,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.7252066115702479,7,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
243,1,[None],0.6818181818181818,39,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
243,2,[None],0.7107438016528925,20,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.740702479338843,35,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
729,1,[None],0.7272727272727273,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
729,2,[None],0.640495867768595,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.743801652892562,15,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1
2187,1,[None],0.5,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.6745867768595041,15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
6561,0,[None],0.6487603305785123,14,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.6064049586776861,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.7024793388429752,11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
19683,0,[None],0.6869834710743801,10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
19683,1,[None],0.6838842975206612,37,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
19683,2,[None],0.6239669421487604,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
59049,0,[None],0.6766528925619835,34,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
59049,1,[None],0.6167355371900827,14,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7045454545454546,24,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
