random_seed,fold,threshold,roc_auc,C,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,P__properties__osv,P__properties__granularidad_promedio,P__properties__granularidad_std,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7603305785123967,0.25046929225553016,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
3,1,[None],0.737603305785124,0.0001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
3,2,[None],0.6714876033057852,96.99098822521421,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
9,0,[None],0.6632231404958677,99.62350444751824,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9,1,[None],0.71900826446281,3.3338095033329616,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
9,2,[None],0.6322314049586777,0.0001,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
27,0,[None],0.7252066115702479,64.34148491110929,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
27,1,[None],0.7066115702479341,0.0001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,2,[None],0.8615702479338843,25.87807228200353,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1
81,0,[None],0.7520661157024794,0.11167254782791612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
81,1,[None],0.615702479338843,0.0001,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
81,2,[None],0.6756198347107438,25.87807228200353,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
243,0,[None],0.6342975206611571,86.61762795987894,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0
243,1,[None],0.5991735537190083,0.08890715248521973,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
243,2,[None],0.7417355371900827,31.171176437833484,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0
729,0,[None],0.7851239669421488,4.6451366269585,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
729,1,[None],0.6838842975206612,0.0001,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0
729,2,[None],0.6239669421487604,94.8885588367796,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1
2187,0,[None],0.8925619834710744,64.42297738065645,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
2187,1,[None],0.6260330578512396,0.0001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
2187,2,[None],0.6942148760330579,0.71147625631376,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
6561,0,[None],0.7045454545454546,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
6561,1,[None],0.6880165289256199,0.0001,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1
6561,2,[None],0.6115702479338844,52.475690687580624,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
19683,0,[None],0.609504132231405,0.0001,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0
19683,1,[None],0.6590909090909092,2.0585473711308153,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1
19683,2,[None],0.5971074380165289,37.45407443072437,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0
59049,0,[None],0.7272727272727273,0.0001,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1
59049,1,[None],0.5929752066115703,0.0001,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
59049,2,[None],0.7396694214876034,0.0001,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
