random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,video_retelling__sentiment__NEG,video_retelling__sentiment__NEU,video_retelling__sentiment__POS,video_retelling__speech_timing__nsyll,video_retelling__speech_timing__npauses,video_retelling__speech_timing__speechrate,video_retelling__speech_timing__mean_syllable_duration,video_retelling__speech_timing__syllable_duration_std,video_retelling__speech_timing__mean_pause_duration,video_retelling__speech_timing__pause_duration_std
3,0,[None],-0.08155643472165153,9,12,0.001,0,0,0,0,1,1,1,0,1,1
3,1,[None],0.028068049356715474,1,433,0.6015138967314656,1,0,1,0,1,1,0,1,1,1
3,2,[None],-0.08529673783173441,3,81,0.001,1,1,0,0,1,1,1,1,1,1
3,3,[None],0.04614776660781894,7,156,0.5963652979122458,0,1,1,0,0,0,1,1,0,0
3,4,[None],-0.0971724786879613,2,444,0.001,1,1,1,1,1,1,1,1,1,1
