random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,P__properties__log_frq_promedio,P__properties__log_frq_std,P__properties__sa_num_phon_promedio,P__properties__sa_num_phon_std,P__properties__sa_num_syll_promedio,P__properties__sa_num_syll_std,P__properties__sa_NP__promedio,P__properties__sa_NP__std,P__properties__concreteness_imputada_promedio,P__properties__concreteness_imputada_std,Animales__properties__osv,P__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std,P__properties__granularidad_promedio,P__properties__granularidad_std
3,0,[None],0.8347107438016529,11,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
3,1,[None],0.8078512396694215,13,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
3,2,[None],0.8388429752066116,19,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
9,0,[None],0.8491735537190083,12,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
9,1,[None],0.8915289256198347,13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.7820247933884298,12,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
27,0,[None],0.8006198347107438,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.9101239669421488,19,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
27,2,[None],0.7902892561983471,16,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.8853305785123967,17,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.7882231404958678,11,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
81,2,[None],0.8894628099173553,13,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.8254132231404958,32,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
243,1,[None],0.8853305785123967,13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1
243,2,[None],0.8202479338842976,21,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.9204545454545454,20,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
729,1,[None],0.8398760330578513,12,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
729,2,[None],0.7448347107438016,16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
2187,0,[None],0.9028925619834711,13,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0
2187,1,[None],0.7954545454545454,12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2187,2,[None],0.8677685950413222,13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
6561,0,[None],0.8047520661157025,14,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
6561,1,[None],0.8491735537190083,23,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
6561,2,[None],0.9183884297520661,12,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
19683,0,[None],0.8977272727272727,15,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.7696280991735537,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8130165289256199,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
59049,0,[None],0.9400826446280992,13,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
59049,1,[None],0.890495867768595,21,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
59049,2,[None],0.7128099173553719,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
