random_seed,fold,threshold,r2,n_neighbors,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],,18,1,1,1,1
3,1,[None],,23,1,1,1,1
3,2,[None],,15,1,1,1,1
3,3,[None],,16,1,1,1,1
3,4,[None],,15,1,1,1,1
