random_seed,fold,threshold,r2,alpha,agradable__sentiment__NEG,agradable__sentiment__NEU,agradable__sentiment__POS
3,0,[None],-0.08291661214531065,9997.8937298705,0,0,1
3,1,[None],-0.06905135940127294,9999.396960457789,0,1,1
3,2,[None],-0.08683103575177786,9997.89371812806,0,1,0
3,3,[None],-0.03355304517003277,9999.721473680102,0,0,1
3,4,[None],-0.05015528444116324,9999.396960457789,0,1,1
