random_seed,fold,threshold,r2,C,gamma,video_retelling__word_properties__mean_log_frq,video_retelling__word_properties__mean_num_phonemes,video_retelling__word_properties__mean_num_syll,video_retelling__word_properties__mean_phon_neigh
3,0,[None],,90.70527867048195,208.22179267066784,1,1,1,1
3,1,[None],,98.80910843482074,3429.0891947026103,1,1,1,1
3,2,[None],,66.49147887971259,5717.5896098552275,1,1,1,1
3,3,[None],,30.424293871729475,5247.564363846735,1,1,1,1
3,4,[None],,59.24149764474736,464.504222554936,1,1,1,1
