random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh
3,0,[None],0.035290246873865616,4,135,1.0,1,1,1,0,1,0,0
3,1,[None],-0.00789235269456845,6,86,0.06598654139229423,1,0,1,1,1,1,1
3,2,[None],0.15948253681990443,2,152,0.5252316752006057,1,1,0,0,1,1,0
3,3,[None],0.09286430535603118,2,23,0.028413014015599456,0,0,0,1,1,1,0
3,4,[None],0.018903410011896216,2,434,0.001,0,1,1,1,0,1,1
