random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.7283057851239669,2,356,0.7610242635682806,1,0,1,1,1,0,1,0,0
3,1,[None],0.8367768595041323,1,457,0.8459745997801623,1,1,1,0,1,1,1,0,1
3,2,[None],0.6415289256198347,6,27,0.8900928566098528,1,1,1,1,1,1,0,1,1
9,0,[None],0.740702479338843,3,19,0.609954769645917,1,1,1,1,1,1,0,0,1
9,1,[None],0.6993801652892562,5,93,0.969615043136794,0,1,0,1,0,1,0,1,0
9,2,[None],0.71900826446281,7,385,0.07497060708235627,0,1,0,0,0,0,1,1,1
27,0,[None],0.6890495867768596,2,169,0.9429667942086066,0,1,1,1,1,1,1,1,0
27,1,[None],0.7097107438016529,6,435,0.8038684048222153,1,1,1,1,1,1,1,1,1
27,2,[None],0.703512396694215,1,17,0.8926656926138155,1,1,0,0,1,0,1,1,1
81,0,[None],0.6652892561983471,1,464,0.764908542434559,0,0,0,1,0,0,0,1,0
81,1,[None],0.7066115702479339,4,485,0.9624848476471691,1,1,1,0,1,1,1,0,1
81,2,[None],0.7933884297520661,2,401,0.07547609303609105,0,1,0,1,0,1,0,1,0
243,0,[None],0.6570247933884297,5,93,0.969615043136794,1,1,1,1,1,1,1,1,1
243,1,[None],0.7086776859504134,8,430,0.007945178400659513,0,1,0,0,0,0,0,1,0
243,2,[None],0.7644628099173554,1,410,1.0,0,1,1,1,0,0,0,1,1
729,0,[None],0.7210743801652892,2,466,0.5390176858119471,1,1,1,1,0,1,0,0,1
729,1,[None],0.6363636363636364,5,470,0.43310997043024463,0,1,1,0,0,0,1,0,1
729,2,[None],0.8285123966942148,6,58,0.001,1,1,1,1,0,0,0,0,0
2187,0,[None],0.7200413223140496,7,431,0.001,1,1,0,0,0,0,1,0,1
2187,1,[None],0.7675619834710743,4,410,0.6949969117197965,1,1,1,1,0,1,0,1,1
2187,2,[None],0.615702479338843,2,464,0.8083122591848525,1,1,1,1,1,1,1,1,1
6561,0,[None],0.765495867768595,3,145,1.0,0,1,0,0,1,1,1,1,1
6561,1,[None],0.6611570247933884,1,407,1.0,0,1,1,1,0,1,1,1,1
6561,2,[None],0.7241735537190084,1,433,0.8933907081197845,1,1,0,1,1,1,0,0,1
19683,0,[None],0.6735537190082643,1,433,0.6015138967314656,0,1,1,1,1,1,1,1,0
19683,1,[None],0.7272727272727273,8,430,0.001,1,1,0,1,1,1,1,1,1
19683,2,[None],0.8202479338842975,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1
59049,0,[None],0.7448347107438016,1,16,0.8830076422960936,0,0,1,1,1,1,1,1,1
59049,1,[None],0.7055785123966942,1,433,0.5953498380401301,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7851239669421488,1,433,0.6015138967314656,0,1,0,1,1,1,1,1,1
