random_seed,fold,threshold,roc_auc,C,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.6776859504132232,0.0001,1,1,1,1,1,1,1,0,1
3,1,[None],0.862603305785124,24.40723990710416,1,1,1,0,0,1,1,0,1
3,2,[None],0.6642561983471075,0.8721529676913888,1,1,0,0,1,0,0,0,1
9,0,[None],0.777892561983471,0.4618781618603483,1,1,1,1,1,1,1,1,1
9,1,[None],0.6528925619834711,0.0001,1,1,0,0,0,1,0,0,0
9,2,[None],0.7417355371900827,6.505252793368653,0,1,0,0,0,0,0,0,1
27,0,[None],0.7159090909090909,0.0001,1,1,1,1,1,1,1,0,0
27,1,[None],0.7778925619834711,1.3201738778075518,1,1,0,0,0,1,0,0,1
27,2,[None],0.7438016528925621,1.2069514513028927,1,1,0,0,0,1,1,0,1
81,0,[None],0.7086776859504132,0.0001,0,1,1,0,1,1,0,1,0
81,1,[None],0.8171487603305786,21.233989833916546,1,1,1,0,0,1,0,0,1
81,2,[None],0.6983471074380165,0.46137523745074666,1,1,0,1,1,1,1,0,1
243,0,[None],0.8109504132231404,15.601948442379607,1,1,0,0,0,0,0,0,1
243,1,[None],0.71900826446281,5.163082088100353,0,1,0,0,1,1,0,0,1
243,2,[None],0.609504132231405,0.0001,1,0,0,1,1,1,0,1,1
729,0,[None],0.7892561983471075,0.8073453474479991,0,1,0,0,0,1,0,0,1
729,1,[None],0.7055785123966942,95.07143556956098,1,1,1,0,0,1,0,1,1
729,2,[None],0.6890495867768595,0.0001,1,1,0,0,1,1,1,0,0
2187,0,[None],0.6394628099173554,3.4389486726697283,1,1,0,0,0,0,0,0,1
2187,1,[None],0.7799586776859503,0.11587894654593915,1,0,0,0,0,1,0,1,1
2187,2,[None],0.7004132231404959,0.0001,1,1,1,1,1,1,0,1,1
6561,0,[None],0.7014462809917356,37.45407443072437,0,1,0,0,0,1,0,0,1
6561,1,[None],0.6973140495867769,0.08048528016028214,0,1,0,0,0,1,0,1,1
6561,2,[None],0.7592975206611571,2.284772946634377,0,1,0,0,1,1,0,0,1
19683,0,[None],0.6714876033057852,0.39813427207153723,0,1,0,0,0,1,0,0,1
19683,1,[None],0.6952479338842976,0.4838180193634039,0,1,0,0,0,1,0,1,1
19683,2,[None],0.8770661157024793,21.233989833916546,1,1,0,1,0,0,0,1,1
59049,0,[None],0.753099173553719,37.45407443072437,1,0,0,0,1,1,0,0,1
59049,1,[None],0.7014462809917356,15.601948442379607,0,1,0,0,0,1,0,1,1
59049,2,[None],0.7427685950413223,0.9164239865745837,0,1,0,1,0,0,0,0,1
