agradable__verbosity__metrics_token_noun_vs_all,agradable__verbosity__metrics_token_noun_vs_content,agradable__verbosity__metrics_token_pron_vs_all,agradable__verbosity__metrics_token_pron_vs_content,agradable__verbosity__metrics_token_propn_vs_all,agradable__verbosity__metrics_token_propn_vs_content,agradable__verbosity__metrics_token_verbs_vs_all,agradable__verbosity__metrics_token_verbs_vs_content,agradable__verbosity__metrics_token_adverbs_vs_all,agradable__verbosity__metrics_token_adverbs_vs_content,agradable__verbosity__metrics_token_adjectives_vs_all,agradable__verbosity__metrics_token_adjectives_vs_content,agradable__verbosity__metrics_token_proportional_density,agradable__verbosity__metrics_token_unique_words,agradable__verbosity__metrics_token_unique_lemma,agradable__verbosity__metrics_token_lexical_density,agradable__verbosity__metrics_token_pronoun_vs_all,agradable__verbosity__metrics_token_words_quantity,agradable__verbosity__metrics_token_content_words_quantity,agradable__verbosity__metrics_token_person_quantity,agradable__verbosity__metrics_token_noun_quantity,agradable__verbosity__metrics_token_verb_quantity,agradable__verbosity__metrics_token_adverb_quantity,agradable__verbosity__metrics_token_adjective_quantity,agradable__verbosity__metrics_token_pronoun_quantity,agradable__verbosity__metrics_token_person_1,agradable__verbosity__metrics_token_person_3,agradable__verbosity__metrics_token_person_1_ratio,agradable__verbosity__metrics_token_person_3_ratio,agradable__verbosity__metrics_lemma_noun_vs_all,agradable__verbosity__metrics_lemma_noun_vs_content,agradable__verbosity__metrics_lemma_pron_vs_all,agradable__verbosity__metrics_lemma_pron_vs_content,agradable__verbosity__metrics_lemma_propn_vs_all,agradable__verbosity__metrics_lemma_propn_vs_content,agradable__verbosity__metrics_lemma_verbs_vs_all,agradable__verbosity__metrics_lemma_verbs_vs_content,agradable__verbosity__metrics_lemma_adverbs_vs_all,agradable__verbosity__metrics_lemma_adverbs_vs_content,agradable__verbosity__metrics_lemma_adjectives_vs_all,agradable__verbosity__metrics_lemma_adjectives_vs_content,agradable__verbosity__metrics_lemma_proportional_density,agradable__verbosity__metrics_lemma_unique_words,agradable__verbosity__metrics_lemma_unique_lemma,agradable__verbosity__metrics_lemma_lexical_density,agradable__verbosity__metrics_lemma_pronoun_vs_all,agradable__verbosity__metrics_lemma_words_quantity,agradable__verbosity__metrics_lemma_content_words_quantity,agradable__verbosity__metrics_lemma_person_quantity,agradable__verbosity__metrics_lemma_noun_quantity,agradable__verbosity__metrics_lemma_verb_quantity,agradable__verbosity__metrics_lemma_adverb_quantity,agradable__verbosity__metrics_lemma_adjective_quantity,agradable__verbosity__metrics_lemma_pronoun_quantity,agradable__verbosity__metrics_lemma_person_1,agradable__verbosity__metrics_lemma_person_3,agradable__verbosity__metrics_lemma_person_1_ratio,agradable__verbosity__metrics_lemma_person_3_ratio,agradable__verbosity__core,agradable__verbosity__non-core,agradable__verbosity__nominal,agradable__verbosity__non-dependency,agradable__verbosity__quantity_of_sentences,agradable__verbosity__mlu,agradable__verbosity__TTR,agradable__verbosity__MATTR_5,agradable__verbosity__MATTR_15,rudas,id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,LIM0003_0039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,TUM0008_0053
0.097826087,0.195652174,0.282608696,0.565217391,0.0,0.0,0.217391304,0.434782609,0.032608696,0.065217391,0.054347826,0.108695652,0.5,64.0,49.0,1.533333333,0.282608696,92.0,46.0,41.0,9.0,20.0,3.0,5.0,26.0,24.0,10.0,0.705882353,0.294117647,0.12244898,0.25,0.102040816,0.208333333,0.0,0.0,0.306122449,0.625,0.020408163,0.041666667,0.081632653,0.166666667,0.489795918,47.0,49.0,1.5,0.102040816,49.0,24.0,19.0,6.0,15.0,1.0,4.0,5.0,11.0,5.0,0.6875,0.3125,22.0,36.0,11.0,48.0,16.0,5.75,0.630434783,0.970454545,0.902564103,21.0,HUA0004_0098
0.204188482,0.40625,0.104712042,0.208333333,0.020942408,0.041666667,0.183246073,0.364583333,0.047120419,0.09375,0.052356021,0.104166667,0.502617801,120.0,91.0,1.714285714,0.104712042,191.0,96.0,70.0,39.0,35.0,9.0,10.0,20.0,45.0,25.0,0.642857143,0.357142857,0.274725275,0.462962963,0.032967033,0.055555556,0.032967033,0.055555556,0.263736264,0.444444444,0.054945055,0.092592593,0.087912088,0.148148148,0.593406593,91.0,91.0,3.6,0.032967033,91.0,54.0,28.0,25.0,24.0,5.0,8.0,3.0,16.0,12.0,0.571428571,0.428571429,46.0,60.0,56.0,56.0,17.0,11.11764706,0.592592593,0.985945946,0.921142857,22.0,LIM0003_0152
0.154929577,0.385964912,0.147887324,0.368421053,0.0,0.0,0.154929577,0.385964912,0.126760563,0.315789474,0.028169014,0.070175439,0.401408451,80.0,64.0,1.357142857,0.147887324,142.0,57.0,43.0,22.0,22.0,18.0,4.0,21.0,18.0,25.0,0.418604651,0.581395349,0.203125,0.481481481,0.109375,0.259259259,0.0,0.0,0.1875,0.444444444,0.171875,0.407407407,0.046875,0.111111111,0.421875,64.0,64.0,1.5,0.109375,64.0,27.0,18.0,13.0,12.0,11.0,3.0,7.0,10.0,8.0,0.555555556,0.444444444,23.0,71.0,38.0,51.0,3.0,47.33333333,0.549295775,0.95942029,0.8203125,20.0,LIM0006_0079
0.153846154,0.322580645,0.138461538,0.290322581,0.046153846,0.096774194,0.2,0.419354839,0.046153846,0.096774194,0.046153846,0.096774194,0.476923077,51.0,45.0,1.409090909,0.138461538,65.0,31.0,23.0,10.0,13.0,3.0,3.0,9.0,7.0,16.0,0.304347826,0.695652174,0.2,0.375,0.088888889,0.166666667,0.066666667,0.125,0.222222222,0.416666667,0.066666667,0.125,0.066666667,0.125,0.533333333,45.0,45.0,2.4,0.088888889,45.0,24.0,14.0,9.0,10.0,3.0,3.0,4.0,5.0,9.0,0.357142857,0.642857143,17.0,21.0,17.0,30.0,4.0,16.25,0.753846154,0.960655738,0.873202614,24.0,HUA0008_0218
0.045454545,0.12195122,0.236363636,0.634146341,0.054545455,0.146341463,0.136363636,0.365853659,0.172727273,0.463414634,0.0,0.0,0.372727273,68.0,51.0,1.051282051,0.236363636,110.0,41.0,37.0,5.0,15.0,19.0,0.0,26.0,9.0,28.0,0.243243243,0.756756757,0.098039216,0.238095238,0.156862745,0.380952381,0.117647059,0.285714286,0.156862745,0.380952381,0.196078431,0.476190476,0.0,0.0,0.411764706,51.0,51.0,1.4,0.156862745,51.0,21.0,14.0,5.0,8.0,10.0,0.0,8.0,6.0,8.0,0.428571429,0.571428571,22.0,44.0,26.0,37.0,5.0,22.0,0.6,0.977358491,0.8625,21.0,TUM0009_0288
0.144186047,0.322916667,0.153488372,0.34375,0.027906977,0.0625,0.162790698,0.364583333,0.060465116,0.135416667,0.041860465,0.09375,0.446511628,107.0,88.0,1.811320755,0.153488372,215.0,96.0,62.0,31.0,35.0,13.0,9.0,33.0,42.0,20.0,0.677419355,0.322580645,0.215909091,0.387755102,0.034090909,0.06122449,0.022727273,0.040816327,0.295454545,0.530612245,0.090909091,0.163265306,0.068181818,0.12244898,0.556818182,88.0,88.0,3.266666667,0.034090909,88.0,49.0,28.0,19.0,26.0,8.0,6.0,3.0,19.0,9.0,0.678571429,0.321428571,44.0,61.0,81.0,48.0,12.0,17.58333333,0.464454976,0.973913043,0.920135364,27.0,TUM0009_0282
0.136094675,0.353846154,0.100591716,0.261538462,0.017751479,0.046153846,0.142011834,0.369230769,0.106508876,0.276923077,0.059171598,0.153846154,0.384615385,115.0,86.0,1.120689655,0.100591716,169.0,65.0,55.0,23.0,24.0,18.0,10.0,17.0,23.0,32.0,0.418181818,0.581818182,0.23255814,0.454545455,0.034883721,0.068181818,0.034883721,0.068181818,0.220930233,0.431818182,0.139534884,0.272727273,0.081395349,0.159090909,0.511627907,86.0,86.0,2.75,0.034883721,86.0,44.0,20.0,20.0,19.0,12.0,7.0,3.0,8.0,12.0,0.4,0.6,18.0,61.0,48.0,61.0,25.0,6.76,0.615384615,0.973333333,0.898924731,24.0,LIM0008_0100
0.174418605,0.422535211,0.093023256,0.225352113,0.052325581,0.126760563,0.11627907,0.281690141,0.058139535,0.14084507,0.023255814,0.056338028,0.412790698,107.0,85.0,1.339622642,0.093023256,172.0,71.0,42.0,30.0,20.0,10.0,4.0,16.0,22.0,20.0,0.523809524,0.476190476,0.270588235,0.469387755,0.035294118,0.06122449,0.082352941,0.142857143,0.2,0.346938776,0.082352941,0.142857143,0.047058824,0.081632653,0.576470588,85.0,85.0,3.5,0.035294118,85.0,49.0,16.0,23.0,17.0,7.0,4.0,3.0,7.0,9.0,0.4375,0.5625,24.0,47.0,63.0,52.0,16.0,10.375,0.590361446,0.972839506,0.885087719,28.0,LIM0006_0139
0.13559322,0.296296296,0.084745763,0.185185185,0.06779661,0.148148148,0.237288136,0.518518519,0.06779661,0.148148148,0.033898305,0.074074074,0.457627119,47.0,42.0,1.588235294,0.084745763,59.0,27.0,10.0,8.0,14.0,4.0,2.0,5.0,4.0,5.0,0.444444444,0.555555556,0.19047619,0.333333333,0.119047619,0.208333333,0.095238095,0.166666667,0.261904762,0.458333333,0.047619048,0.083333333,0.047619048,0.083333333,0.571428571,41.0,42.0,2.4,0.119047619,42.0,24.0,10.0,8.0,11.0,2.0,2.0,5.0,4.0,5.0,0.444444444,0.555555556,13.0,14.0,16.0,24.0,8.0,7.25,0.74137931,0.977777778,0.933333333,21.0,LIM0004_0062
0.134328358,0.276923077,0.186567164,0.384615385,0.0,0.0,0.201492537,0.415384615,0.111940299,0.230769231,0.029850746,0.061538462,0.485074627,82.0,62.0,2.03125,0.186567164,134.0,65.0,49.0,18.0,27.0,15.0,4.0,25.0,20.0,29.0,0.408163265,0.591836735,0.209677419,0.371428571,0.080645161,0.142857143,0.0,0.0,0.322580645,0.571428571,0.080645161,0.142857143,0.048387097,0.085714286,0.564516129,62.0,62.0,2.692307692,0.080645161,62.0,35.0,19.0,13.0,20.0,5.0,3.0,5.0,5.0,14.0,0.263157895,0.736842105,32.0,51.0,30.0,36.0,17.0,7.823529412,0.533834586,0.96744186,0.867226891,24.0,LIM0005_0020
