random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.78099173553719,8,430,0.007945178400659513,1,0,1,0,1,0,1,1,0,1,1,1
3,1,[None],0.9338842975206613,1,407,0.7071504865037695,1,1,1,1,0,1,1,1,1,1,1,1
3,2,[None],0.9266528925619835,1,405,0.47934309394989677,1,1,0,0,0,0,1,1,1,1,0,1
9,0,[None],0.8822314049586777,1,454,0.8883161305031492,1,1,0,1,1,0,1,1,0,1,0,0
9,1,[None],0.9318181818181818,3,49,0.6845487934856448,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.9400826446280991,1,433,0.6015138967314656,1,1,1,0,1,1,1,1,1,1,1,1
27,0,[None],0.899793388429752,1,328,0.9028091403563189,1,1,0,0,0,0,0,1,0,0,0,0
27,1,[None],0.9338842975206612,1,436,1.0,1,1,1,1,0,0,1,1,1,0,1,1
27,2,[None],0.9359504132231404,1,454,0.3874684786762677,1,1,1,1,0,1,0,0,1,1,0,0
81,0,[None],0.9586776859504132,3,49,0.6845487934856448,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.84400826446281,4,136,0.8289087716427774,1,1,0,0,1,0,1,1,0,1,0,1
81,2,[None],0.8853305785123967,5,240,0.5768087939109838,1,1,0,0,0,0,0,1,0,1,0,1
243,0,[None],0.9648760330578512,1,455,0.19128856768706556,1,1,0,0,0,0,1,1,0,1,0,1
243,1,[None],0.8925619834710743,1,114,0.42768068083763006,1,1,0,0,0,0,0,1,1,1,0,1
243,2,[None],0.9411157024793388,1,454,0.2595212016184169,1,1,1,0,1,1,1,1,1,1,1,1
729,0,[None],0.9214876033057852,1,433,0.6015138967314656,1,1,0,1,1,1,1,1,1,1,1,1
729,1,[None],0.8357438016528926,1,433,0.6570623006663657,1,1,0,1,0,1,0,1,0,1,1,0
729,2,[None],0.887396694214876,2,169,0.9429667942086066,1,1,1,1,0,1,1,1,0,1,1,1
2187,0,[None],0.9276859504132232,5,93,0.969615043136794,1,1,1,1,1,1,0,1,1,1,1,1
2187,1,[None],0.899793388429752,1,143,0.6504704285540944,1,1,1,0,0,0,0,1,0,1,0,0
2187,2,[None],0.8574380165289256,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.8667355371900827,1,16,0.33530873914023834,1,1,1,1,1,0,1,1,1,0,0,1
6561,1,[None],0.9008264462809917,3,205,0.7557955874045056,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.9338842975206612,1,450,0.1838569921521181,1,1,1,0,1,0,1,1,1,0,0,1
19683,0,[None],0.9669421487603306,7,230,0.7169001217353971,1,1,1,1,0,1,1,0,1,0,1,1
19683,1,[None],0.8946280991735537,2,51,0.7850852761064291,1,1,0,0,0,1,1,1,1,1,1,1
19683,2,[None],0.9049586776859504,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,0,1,0,0
59049,0,[None],0.862603305785124,2,151,0.5242802929753424,1,0,0,0,0,0,1,1,0,0,0,1
59049,1,[None],0.9710743801652892,2,464,0.8083122591848525,1,1,1,1,0,1,1,0,1,1,0,1
59049,2,[None],0.8409090909090908,4,136,0.8289087716427774,1,1,1,1,1,0,1,1,1,1,1,1
