feature,importance
Animales__properties__sa_num_phon_std,0.1963376
Animales__properties__log_frq_promedio,0.13294373
Animales__properties__granularidad_std,0.11481378
P__properties__sa_num_phon_promedio,0.07567233
P__properties__concreteness_imputada_std,0.07371839
Animales__properties__log_frq_std,0.06746724
Animales__properties__sa_NP__promedio,0.0666322
Animales__properties__sa_NP__std,0.064525485
Animales__properties__sa_num_phon_promedio,0.04227045
Animales__properties__osv,0.037166096
Animales__properties__concreteness_imputada_std,0.03165534
P__properties__sa_NP__std,0.028215913
Animales__properties__sa_num_syll_std,0.025214491
P__properties__log_frq_std,0.0158051
Animales__properties__concreteness_imputada_promedio,0.0153684225
P__properties__granularidad_promedio,0.012193456
Animales__properties__sa_num_syll_promedio,0.0
P__properties__log_frq_promedio,0.0
P__properties__sa_NP__promedio,0.0
P__properties__sa_num_syll_std,0.0
P__properties__sa_num_syll_promedio,0.0
P__properties__sa_num_phon_std,0.0
P__properties__osv,0.0
P__properties__concreteness_imputada_promedio,0.0
Animales__properties__granularidad_promedio,0.0
P__properties__granularidad_std,0.0
