random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.8350574712643679,36,1,1,1,1,1,0,0,1,1,1,1,1,1
3,1,[None],0.8362068965517241,37,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.7747126436781611,9,1,1,1,1,1,1,1,1,1,1,1,0,1
3,3,[None],0.8275862068965517,17,1,1,1,1,1,1,1,0,1,1,1,1,1
3,4,[None],0.8005747126436782,39,1,0,1,0,1,1,1,1,1,1,1,1,1
3,5,[None],0.8454022988505747,42,1,1,1,1,0,1,1,1,1,1,1,1,1
3,6,[None],0.7816666666666666,26,1,1,1,1,1,1,1,1,1,1,1,0,1
3,7,[None],0.8438888888888889,36,1,1,1,0,0,1,1,1,1,1,1,1,1
3,8,[None],0.8388888888888889,37,1,1,1,1,0,1,1,1,1,1,1,1,1
3,9,[None],0.808888888888889,37,1,1,1,1,1,0,1,1,1,1,0,1,1
9,0,[None],0.7931034482758621,41,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.8534482758620688,41,1,1,0,0,1,1,1,1,1,1,1,1,1
9,2,[None],0.8695402298850575,38,1,0,1,1,1,0,1,1,1,1,1,1,1
9,3,[None],0.8390804597701149,44,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],0.8442528735632184,17,1,1,1,1,1,1,1,1,1,1,1,0,1
9,5,[None],0.785632183908046,40,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,[None],0.7888888888888889,37,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,[None],0.8266666666666668,37,1,1,1,1,1,0,0,1,1,1,0,0,1
9,8,[None],0.8444444444444444,38,1,1,1,1,1,0,1,1,1,1,0,1,1
9,9,[None],0.87,39,1,1,1,1,1,0,1,1,1,1,1,1,1
