random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
19683,3,[None],0.9591954022988505,1,452,0.4148572733920765,1,1,0,0,0,0,0,1,1,1,1,0,1
19683,4,[None],0.9022988505747127,3,444,0.5339411589543384,1,1,1,1,0,1,1,1,1,0,1,1,1
19683,5,[None],0.945977011494253,1,407,0.7071504865037695,1,1,1,1,1,1,1,1,1,0,0,1,1
19683,6,[None],0.9044444444444446,4,410,0.6949969117197965,1,1,0,1,0,0,1,1,1,1,1,1,1
19683,7,[None],0.9255555555555557,1,114,0.42768068083763006,1,1,1,0,0,1,0,1,1,1,0,0,1
19683,8,[None],0.9072222222222223,4,136,0.8289087716427774,1,1,0,1,1,1,1,1,1,1,1,0,1
19683,9,[None],0.9322222222222222,1,407,0.7071504865037695,1,1,1,1,1,0,0,1,0,0,1,1,1
59049,0,[None],0.903448275862069,2,466,0.5390176858119471,1,1,1,1,0,0,1,1,0,1,0,1,1
59049,1,[None],0.945977011494253,1,454,0.2595212016184169,1,1,1,0,1,1,1,1,0,0,0,1,0
59049,2,[None],0.9160919540229886,1,454,0.2595212016184169,1,1,1,0,0,0,0,1,1,1,1,0,1
59049,3,[None],0.9057471264367816,9,386,0.19951696585263823,1,1,1,1,0,1,1,1,1,1,1,1,1
59049,4,[None],0.8931034482758621,2,146,0.37955043073329164,1,1,1,1,0,1,1,1,1,1,1,1,1
59049,5,[None],0.9597701149425287,1,345,0.4150513484610965,1,1,0,1,0,0,1,1,1,1,0,0,1
59049,6,[None],0.9211111111111111,2,146,0.366995481450398,1,1,0,1,0,1,1,1,1,1,0,1,1
59049,7,[None],0.903888888888889,8,449,0.3190366148233571,1,1,0,0,0,0,1,1,1,1,1,0,1
59049,8,[None],0.9144444444444444,1,114,0.42768068083763006,1,1,0,1,0,1,1,1,1,1,1,0,1
59049,9,[None],0.9372222222222223,1,456,0.21568582178067655,1,1,0,1,0,1,1,1,1,1,1,0,1
