random_seed,fold,threshold,roc_auc,C,gamma,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
3,0,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,[None],0.4844827586206897,30.424293871729475,5247.564363846735,1,1,1,1,1,1,1,1,1,1,1,1,1
3,6,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,7,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,8,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
3,9,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.5,2.0585473711308153,9699.098524628958,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.5,60.754524435658645,1705.2413198205031,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
9,4,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,[None],0.5155172413793104,0.0001,8158.491895368134,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,7,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,8,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.5,59.79003809111063,9218.742358043744,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.5,6.505252793368653,9488.855377644779,1,1,1,1,1,1,1,1,1,1,1,1,1
27,3,[None],0.5155172413793104,0.0001,8178.712023648986,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
27,5,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
27,6,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,8,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
27,9,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.5,18.182578538213342,1834.0451801938873,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
81,3,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
81,4,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
81,5,[None],0.4844827586206897,96.95846581799307,7751.328256097864,1,1,1,1,1,1,1,1,1,1,1,1,1
81,6,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1,1
81,7,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
81,8,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
81,9,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.5,96.56320674425262,8083.973500324877,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.5,28.093522875287107,5426.960877312877,1,1,1,1,1,1,1,1,1,1,1,1,1
243,3,[None],0.5155172413793104,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
243,4,[None],0.4844827586206897,29.21453563905696,3663.618496300733,1,1,1,1,1,1,1,1,1,1,1,1,1
243,5,[None],0.4844827586206897,6.505252793368653,9488.855377644779,1,1,1,1,1,1,1,1,1,1,1,1,1
243,6,[None],0.8533333333333334,39.75666112231683,0.055466756826270114,1,0,1,1,0,1,0,0,0,0,1,1,1
243,7,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,8,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
243,9,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.5,68.42333422791305,4401.5249933807645,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.5155172413793103,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
