random_seed,fold,threshold,r2,alpha,l1_ratio,agradable__sentiment__NEG,agradable__sentiment__NEU,agradable__sentiment__POS,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],-0.08294886114555777,3745.401194728224,0.9507143064099162,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],-0.06929250393838537,3745.401194728224,0.9507143064099162,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],-0.08686361975895962,3745.401194728224,0.9507143064099162,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,[None],0.22668527079997136,0.1673731601700582,0.8907517031004873,0,1,0,0,0,0,0,1,1,0,1,0,0,0
3,4,[None],0.17099894263907045,0.1673731601700582,0.8907517031004873,1,1,0,1,1,0,0,1,0,0,1,0,0,0
