random_seed,fold,threshold,r2,n_neighbors,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS,video_retelling__sentiment__NEG,video_retelling__sentiment__NEU,video_retelling__sentiment__POS
3,0,[None],-0.07776081697508563,27,0,1,1,0,1,1
3,1,[None],-0.029970416979714587,16,1,1,1,1,1,0
3,2,[None],-0.09446744573185484,19,1,1,1,1,1,1
3,3,[None],-0.024911720698254314,25,1,1,1,1,1,1
3,4,[None],-0.032076120504562544,18,1,1,1,1,1,1
