random_seed,fold,threshold,roc_auc,C,gamma,Animales__vr__count,P__vr__count
3,0,[None],0.7035123966942148,77.1270575415599,740.4466099364384,0,1
3,1,[None],0.5320247933884297,0.5523111601485275,8154.614303002199,1,1
3,2,[None],0.6962809917355373,54.67107326330003,1848.544636769825,1,0
9,0,[None],0.737603305785124,8.229158278011823,37.20060140482564,1,0
9,1,[None],0.6590909090909091,8.229158278011823,37.20060140482564,1,0
9,2,[None],0.5320247933884298,0.5523111601485275,8154.614303002199,1,1
27,0,[None],0.7582644628099173,8.229158278011823,37.20060140482564,1,0
27,1,[None],0.6570247933884298,93.94990020652476,8948.273514793753,1,0
27,2,[None],0.6663223140495868,4.522824368324915,3253.3033750996105,1,0
81,0,[None],0.7913223140495869,8.229158278011823,37.20060140482564,1,1
81,1,[None],0.5444214876033057,35.84663700785441,1158.6906836643911,1,1
81,2,[None],0.8429752066115702,8.229158278011823,37.20060140482564,1,0
243,0,[None],0.5475206611570248,0.5523111601485275,8154.614303002199,1,1
243,1,[None],0.7355371900826446,0.5523111601485275,8154.614303002199,0,1
243,2,[None],0.7592975206611571,8.229158278011823,37.20060140482564,1,0
729,0,[None],0.7995867768595041,71.95720755325003,749.3385217981612,1,0
729,1,[None],0.6942148760330579,37.45407443072437,9507.14306902773,1,0
729,2,[None],0.5175619834710744,72.936608611178,1991.0776878623187,1,1
2187,0,[None],0.7541322314049587,8.229158278011823,37.20060140482564,1,0
2187,1,[None],0.4896694214876033,0.3244258014043232,8154.580289002475,1,1
2187,2,[None],0.7520661157024793,8.229158278011823,37.20060140482564,1,0
6561,0,[None],0.6239669421487604,18.182578538213342,1834.0451801938873,1,0
6561,1,[None],0.5,0.0001,8174.001773362411,1,1
6561,2,[None],0.7169421487603306,8.229158278011823,37.20060140482564,1,0
19683,0,[None],0.8347107438016529,31.171176437833484,5200.680259771307,1,0
19683,1,[None],0.7820247933884299,83.2442808357781,2123.391185548851,0,1
19683,2,[None],0.6074380165289257,12.203911280654397,4951.769151595011,1,0
59049,0,[None],0.6828512396694215,8.229158278011823,37.20060140482564,1,0
59049,1,[None],0.8181818181818182,8.229158278011823,37.20060140482564,1,0
59049,2,[None],0.6053719008264462,54.67107326330003,1848.544636769825,1,0
