feature,importance
lamina2__talking_intervals__pause_duration_mean,0.20698336
lamina2__mlu__mlu,0.1434832
lamina2__talking_intervals__nsyll,0.13719876
lamina2__word_properties__phon_neigh_mean,0.10242254
lamina2__verbosity__ratio_verb_over_total,0.09559487
lamina2__word_properties__log_frq_mean,0.07273182
lamina2__verbosity__mattr_all,0.055292867
lamina2__word_properties__num_phonemes_mean,0.053309675
lamina2__universal_dependencies__non-dependency_norm,0.046995383
lamina2__word_properties__granularity_mean,0.04661269
lamina2__talking_intervals__npauses,0.029711645
lamina2__verbosity__ratio_noun_over_total,0.009663226
