random_seed,fold,threshold,roc_auc,C,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.9338842975206612,59.24149764474736,1,1,1,0,0,1,0,1
3,1,[None],0.756198347107438,13.949472115818118,1,1,0,1,1,1,1,1
3,2,[None],0.7809917355371901,86.61762795987894,1,0,1,1,1,1,0,0
9,0,[None],0.884297520661157,11.808276051022164,1,0,0,1,1,1,0,0
9,1,[None],0.8037190082644629,1.8241743512181283,1,0,1,1,1,1,0,0
9,2,[None],0.8491735537190083,34.04310756367977,1,1,1,1,1,1,1,1
27,0,[None],0.8533057851239669,95.07143556956098,1,0,1,1,1,1,0,0
27,1,[None],0.8491735537190082,19.967458248457756,1,0,1,1,1,1,1,1
27,2,[None],0.8729338842975206,73.19942098174633,1,1,1,0,0,1,0,0
81,0,[None],0.7954545454545454,70.80728697234677,1,1,1,1,1,1,1,1
81,1,[None],0.8264462809917354,5.8084554084587285,1,1,0,0,0,1,0,1
81,2,[None],0.8615702479338843,95.07143556956098,1,1,1,1,1,1,0,0
243,0,[None],0.8574380165289256,3.4389486726697283,1,1,0,1,1,0,0,0
243,1,[None],0.9018595041322314,66.25226218316976,1,1,1,1,1,1,1,0
243,2,[None],0.7851239669421488,15.601948442379607,1,1,1,1,0,1,0,0
729,0,[None],0.8388429752066116,37.45407443072437,1,0,1,1,1,0,1,0
729,1,[None],0.8326446280991735,29.12298489689017,1,1,1,1,1,1,0,0
729,2,[None],0.8429752066115702,30.424293871729475,1,1,1,1,0,1,0,0
2187,0,[None],0.9173553719008265,95.07143556956098,1,1,0,1,1,1,0,0
2187,1,[None],0.7789256198347108,37.45407443072437,1,1,1,1,1,1,1,1
2187,2,[None],0.7809917355371901,7.141608782564316,1,1,0,1,1,0,0,0
6561,0,[None],0.8925619834710744,100.0,1,1,1,1,1,1,0,0
6561,1,[None],0.8305785123966942,8.436134533253854,1,1,0,1,1,1,0,1
6561,2,[None],0.7933884297520662,1.1890173177653969,1,1,0,0,0,1,1,1
19683,0,[None],0.8636363636363636,70.80728697234677,1,1,1,1,1,1,0,0
19683,1,[None],0.8471074380165289,95.07143556956098,1,1,1,1,1,1,1,0
19683,2,[None],0.8161157024793388,5.8084554084587285,1,1,0,1,1,1,1,0
59049,0,[None],0.8450413223140496,73.19942098174633,1,1,1,1,0,1,0,0
59049,1,[None],0.8739669421487603,5.8084554084587285,1,1,1,1,0,0,0,0
59049,2,[None],0.8202479338842975,49.517741493436006,0,0,1,1,1,1,0,0
