random_seed,fold,threshold,roc_auc,C,gamma,P__vr__count,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
3,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
3,2,[None],0.6539256198347108,53.262711178111616,120.05122090703166,0,0,0,1,0,0,1,1
9,0,[None],0.8884297520661157,18.19140352988743,0.014472068271697797,1,1,0,1,1,1,0,1
9,1,[None],0.5444214876033058,8.229158278011823,37.20060140482564,1,0,1,1,1,1,1,1
9,2,[None],0.6632231404958677,53.262711178111616,120.05122090703166,0,0,0,0,1,0,0,0
27,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
27,1,[None],0.7541322314049587,18.058699989463506,0.29359967629087586,0,1,1,1,1,1,0,0
27,2,[None],0.5444214876033058,53.262711178111616,120.05122090703166,1,0,1,1,1,1,1,1
81,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
81,1,[None],0.7716942148760331,7.541739848704581,26.086410346808965,0,0,0,0,0,1,1,1
81,2,[None],0.78099173553719,18.058699989463506,0.29359967629087586,1,1,0,1,1,1,1,1
243,0,[None],0.5,76.21127654230405,191.38160176043775,1,1,1,1,1,1,1,1
243,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
243,2,[None],0.9152892561983471,4.4170029410770795,23.744012479039437,0,1,0,0,0,0,1,1
729,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
729,1,[None],0.8512396694214877,23.70563385181957,0.19478563433359272,1,1,0,1,1,1,1,0
729,2,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1
2187,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
2187,1,[None],0.5444214876033058,15.428106360433175,27.74421069688152,1,1,1,1,1,1,1,1
2187,2,[None],0.7293388429752066,1.1337398988170648,37.243726429516734,0,1,0,1,0,0,1,1
6561,0,[None],0.7933884297520661,18.058699989463506,0.29359967629087586,0,1,1,1,1,1,0,0
6561,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1
6561,2,[None],0.5,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1,1
19683,0,[None],0.8181818181818181,8.229158278011823,37.20060140482564,0,0,0,0,0,1,1,0
19683,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1
19683,2,[None],0.7479338842975206,18.058699989463506,0.29359967629087586,1,1,0,0,0,1,1,0
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
59049,1,[None],0.5,8.229158278011823,37.20060140482564,1,1,1,1,1,1,1,1
59049,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1
