random_seed,fold,threshold,r2,alpha,video_retelling__speech_timing__nsyll,video_retelling__speech_timing__npauses,video_retelling__speech_timing__speechrate,video_retelling__speech_timing__mean_syllable_duration,video_retelling__speech_timing__syllable_duration_std,video_retelling__speech_timing__mean_pause_duration,video_retelling__speech_timing__pause_duration_std
3,0,[None],-0.082814256839713,9999.7214847634,0,1,0,0,0,1,1
3,1,[None],-0.04498943566322011,205.84495275217952,1,1,1,0,1,1,1
3,2,[None],-0.08659267771251655,9999.721486042828,0,1,1,0,0,0,1
3,3,[None],-0.03353300786390023,9999.721473680102,1,0,1,1,0,0,0
3,4,[None],-0.05012303481162039,9999.721484603124,0,1,0,0,0,1,1
