feature,importance
lamina2__talking_intervals__pause_duration_mean,0.2209003
lamina2__verbosity__verb_count,0.19956948
lamina2__universal_dependencies__core_norm,0.18476701
lamina2__talking_intervals__nsyll,0.14093672
lamina2__verbosity__mattr_all,0.06221409
lamina2__universal_dependencies__non-dependency_norm,0.055049155
lamina2__word_properties__log_frq_mean,0.04299029
lamina2__verbosity__ratio_adv_over_total,0.026075821
lamina2__mlu__mlu,0.025916267
lamina2__verbosity__adv_count,0.023737665
lamina2__verbosity__ratio_noun_over_total,0.017843172
