random_seed,fold,threshold,r2,alpha,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__syllable_duration_kurtosis,agradable__speech_timing__syllable_duration_skewness,agradable__speech_timing__syllable_duration_max,agradable__speech_timing__syllable_duration_min,agradable__speech_timing__pause_duration_kurtosis,agradable__speech_timing__pause_duration_skewness,agradable__speech_timing__pause_duration_max,agradable__speech_timing__pause_duration_min,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std
3,0,[None],-0.010650466571223927,9999.248268332516,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
3,1,[None],-0.025666841291800635,9999.248268332516,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
3,2,[None],-0.051049842873151396,9997.893748771916,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
3,3,[None],-0.020824367212011863,9999.248279141404,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
3,4,[None],0.013665896871075667,205.84495275217952,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1
