random_seed,fold,threshold,r2,n_neighbors,video_retelling__speech_timing__nsyll,video_retelling__speech_timing__npauses,video_retelling__speech_timing__speechrate,video_retelling__speech_timing__mean_syllable_duration,video_retelling__speech_timing__syllable_duration_std,video_retelling__speech_timing__mean_pause_duration,video_retelling__speech_timing__pause_duration_std
3,0,[None],0.03500510467960438,22,0,1,1,1,1,1,0
3,1,[None],0.005567641570876192,31,1,0,1,1,0,1,1
3,2,[None],-0.0033389481047847447,38,1,1,1,1,1,1,1
3,3,[None],-0.081183756192035,11,1,0,1,1,1,1,1
3,4,[None],0.007053983681489462,31,1,0,1,1,1,1,1
