random_seed,fold,threshold,r2,alpha,video_retelling__speech_timing__nsyll,video_retelling__speech_timing__npauses,video_retelling__speech_timing__syllable_duration_kurtosis,video_retelling__speech_timing__syllable_duration_skewness,video_retelling__speech_timing__syllable_duration_max,video_retelling__speech_timing__syllable_duration_min,video_retelling__speech_timing__pause_duration_kurtosis,video_retelling__speech_timing__pause_duration_skewness,video_retelling__speech_timing__pause_duration_max,video_retelling__speech_timing__pause_duration_min,video_retelling__speech_timing__speechrate,video_retelling__speech_timing__mean_syllable_duration,video_retelling__speech_timing__syllable_duration_std,video_retelling__speech_timing__mean_pause_duration,video_retelling__speech_timing__pause_duration_std
3,0,[None],-0.010978624054723163,9997.893738427638,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
3,1,[None],-0.02591218799843431,9999.396960457789,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1
3,2,[None],-0.027555486234799753,205.84495275217952,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1
3,3,[None],-0.020851105153086857,9999.396960457789,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1
3,4,[None],-0.02774489250279677,9997.893745329113,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
