random_seed,fold,threshold,r2,n_neighbors,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS
3,0,[None],0.0523078784332387,18,1,1,0
3,1,[None],-0.04305562496876414,17,0,1,1
3,2,[None],-0.005681060985529118,14,1,1,1
3,3,[None],0.09759529291378888,7,1,1,1
3,4,[None],-0.010575377672321862,26,1,0,0
