random_seed,fold,threshold,roc_auc,n_neighbors,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.7324380165289256,38,1,1,1,1,1,1,1
3,1,[None],0.7231404958677685,37,1,1,1,1,1,1,1
3,2,[None],0.5454545454545454,34,1,0,1,1,1,1,1
9,0,[None],0.762396694214876,29,0,0,1,1,1,1,0
9,1,[None],0.6590909090909091,39,1,1,1,1,1,1,1
9,2,[None],0.5681818181818182,39,1,1,1,1,1,1,1
27,0,[None],0.7954545454545455,1,0,1,1,1,1,0,0
27,1,[None],0.7572314049586777,30,1,1,0,1,1,1,0
27,2,[None],0.6735537190082644,33,1,0,1,0,1,1,1
81,0,[None],0.6590909090909092,39,1,1,1,1,1,1,1
81,1,[None],0.6652892561983471,38,1,1,1,1,1,1,1
81,2,[None],0.7954545454545455,1,0,1,1,1,1,0,0
243,0,[None],0.6652892561983471,33,1,1,1,1,1,1,1
243,1,[None],0.7613636363636364,34,0,1,1,1,1,1,1
243,2,[None],0.6074380165289256,38,1,1,1,1,1,1,0
729,0,[None],0.7871900826446281,3,1,0,1,0,1,1,0
729,1,[None],0.6363636363636364,38,1,0,1,1,1,0,0
729,2,[None],0.6694214876033058,5,1,1,1,1,1,1,1
2187,0,[None],0.659090909090909,38,1,1,0,1,1,0,1
2187,1,[None],0.7148760330578512,7,1,1,1,1,1,1,0
2187,2,[None],0.6518595041322314,32,1,1,1,1,1,1,1
6561,0,[None],0.7231404958677686,26,1,1,1,1,1,1,1
6561,1,[None],0.6146694214876034,38,1,1,1,1,1,1,1
6561,2,[None],0.6332644628099173,37,1,1,1,1,1,0,1
19683,0,[None],0.680785123966942,36,1,1,1,0,1,1,0
19683,1,[None],0.8233471074380165,6,0,0,1,0,1,0,0
19683,2,[None],0.6518595041322314,7,1,1,1,1,1,1,0
59049,0,[None],0.7169421487603306,36,1,0,1,0,1,1,0
59049,1,[None],0.6973140495867769,26,1,1,1,1,1,1,1
59049,2,[None],0.6983471074380165,16,1,1,1,1,1,1,1
