random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],-0.21134900179086302,1,433,0.6438598106354387,0,0,1,1,1,1,1,1,1,0
3,1,[None],-0.03148195864384373,2,147,0.0010636230421454506,0,1,1,0,1,1,1,1,1,1
3,2,[None],-0.05030801781228944,4,149,0.001,1,0,1,1,0,1,1,0,1,0
3,3,[None],-0.03362831656159471,1,38,0.001,1,0,1,1,0,1,1,1,1,1
3,4,[None],-0.024437265065154312,2,147,0.001,1,0,1,1,1,1,1,0,1,1
