random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__vr__count,P__vr__count,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],0.868801652892562,3,49,0.6845487934856448,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
3,1,[None],0.9039256198347108,6,27,0.8315199547580527,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1
3,2,[None],0.9256198347107438,2,356,0.7610242635682806,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1
9,0,[None],0.9628099173553719,8,448,0.318685471496892,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
9,1,[None],0.8429752066115702,4,136,0.8289087716427774,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1
9,2,[None],0.8274793388429752,4,485,0.9624848476471691,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
27,0,[None],0.9380165289256198,1,453,0.15111253219162832,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
27,1,[None],0.8966942148760331,1,433,0.6015138967314656,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
27,2,[None],0.8357438016528926,10,429,0.001,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1
81,0,[None],0.9152892561983471,1,432,0.9773400594688331,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
81,1,[None],0.9070247933884297,2,464,0.8083122591848525,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1
81,2,[None],0.9338842975206612,1,16,0.6367740008525166,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
243,0,[None],0.8915289256198347,1,16,0.7673645421230986,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
243,1,[None],0.9256198347107437,5,470,0.43310997043024463,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1
243,2,[None],0.8202479338842975,4,58,0.8632403224497179,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
729,0,[None],0.9318181818181818,3,259,0.7033159399362827,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.8615702479338843,10,431,0.001,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
729,2,[None],0.9008264462809917,1,345,0.4150513484610965,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0
2187,0,[None],0.9173553719008265,2,168,0.920546658702183,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
2187,1,[None],0.9607438016528926,1,432,0.8393169993562271,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
2187,2,[None],0.8543388429752066,4,410,0.7038738409981435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.9008264462809918,4,410,0.6949969117197965,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0
6561,1,[None],0.828512396694215,6,443,0.4727427102367873,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
6561,2,[None],0.878099173553719,3,205,0.7557955874045056,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1
19683,0,[None],0.9741735537190083,2,17,0.62804475538635,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
19683,1,[None],0.8202479338842974,9,482,0.8085889507683447,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
19683,2,[None],0.8109504132231404,6,443,0.4727427102367873,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.8925619834710743,3,254,0.9076589074521669,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
59049,1,[None],0.9390495867768595,5,392,0.2004741083762014,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
59049,2,[None],0.8274793388429752,7,11,0.9531845903594699,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1
