random_seed,fold,threshold,r2,n_neighbors,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],-0.02446727063927523,17,1,1,0,1,1,0,0
3,1,[None],-0.00906404802508698,21,1,0,0,1,0,1,0
3,2,[None],-0.0599063321385902,25,1,0,0,1,0,1,0
3,3,[None],0.0431158944743405,19,0,1,0,1,1,1,1
3,4,[None],-0.01020699141170156,18,1,0,0,1,1,1,0
