task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score,r2_extremo
agradable,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable,word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable__rutina,pitch__dem,rudas,lasso,,bca,"3.03220, (2.39289, 3.78145)","15.06875, (9.95229, 22.63648)","-0.02126, (-0.06771, 0.03046)",-0.06771
agradable__rutina,sentiment__dem,rudas,svr,,bca,"3.10693, (2.45113, 3.85463)","15.69466, (10.33366, 22.87133)","-0.06368, (-0.12585, 0.00098)",-0.12585
agradable__rutina,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable__rutina,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable__rutina,word_properties,rudas,svr,,bca,"3.10577, (2.45279, 3.85106)","15.67936, (10.47311, 23.13881)","-0.06265, (-0.12594, 0.00571)",-0.12594
agradable__rutina__video_retelling,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
agradable__rutina__video_retelling,word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,pitch,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,pitch__speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,sentiment,rudas,elastic,,bca,"3.06368, (2.42221, 3.82221)","15.44563, (10.17417, 23.04484)","-0.04681, (-0.08768, 0.00777)",-0.08768
rutina,sentiment__speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,sentiment__speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,sentiment__word_properties,rudas,elastic,,bca,"3.06354, (2.41202, 3.81964)","15.39365, (10.09209, 22.93405)","-0.04328, (-0.08782, 0.01156)",-0.08782
rutina,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina,word_properties,rudas,lasso,,bca,"3.05773, (2.42784, 3.80700)","15.24687, (9.94179, 22.73838)","-0.03334, (-0.08477, 0.03358)",-0.08477
rutina__video_retelling,sentiment,rudas,svr,,bca,"3.07843, (2.42617, 3.82720)","15.55915, (10.36415, 23.30109)","-0.05450, (-0.10358, 0.02478)",-0.10358
rutina__video_retelling,sentiment__speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina__video_retelling,sentiment__speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina__video_retelling,sentiment__word_properties,rudas,elastic,,bca,"3.05838, (2.40169, 3.79180)","15.35424, (10.07220, 23.20499)","-0.04061, (-0.08685, 0.03922)",-0.08685
rutina__video_retelling,speech_timing,rudas,elastic,,bca,"3.07571, (2.41866, 3.82024)","15.46242, (10.24169, 23.10379)","-0.04794, (-0.08989, -0.00043)",-0.08989
rutina__video_retelling,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)",-0.08989
rutina__video_retelling,word_properties,rudas,ridge,,bca,"3.07028, (2.42235, 3.80333)","15.26507, (10.06838, 22.62381)","-0.03457, (-0.07765, 0.02562)",-0.07765
agradable,pitch,ad8,ridge,,bca,"1.52412, (1.29162, 1.83293)","3.21738, (2.34874, 4.82169)","-0.01518, (-0.08883, 0.04563)",-0.08883
agradable,sentiment,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
agradable,sentiment__speech_timing,ad8,ridge,,bca,"1.47087, (1.25670, 1.80156)","2.95111, (2.16539, 4.47402)","0.06884, (-0.02354, 0.31463)",-0.02354
agradable,sentiment__speech_timing__word_properties,ad8,ridge,,bca,"1.44779, (1.22664, 1.77360)","2.88787, (2.08804, 4.42666)","0.08879, (-0.00182, 0.32667)",-0.00182
agradable,sentiment__word_properties,ad8,ridge,,bca,"1.51248, (1.28264, 1.83543)","3.16584, (2.27340, 4.65886)","0.00109, (-0.03256, 0.05524)",-0.03256
agradable,speech_timing,ad8,ridge,,bca,"1.47034, (1.25335, 1.79442)","2.94147, (2.14824, 4.48720)","0.07188, (-0.02111, 0.31629)",-0.02111
agradable,speech_timing__verbosity,ad8,elastic,,bca,"1.44792, (1.21969, 1.76214)","2.90524, (2.11750, 4.41771)","0.08331, (-0.03348, 0.35813)",-0.03348
agradable,speech_timing__verbosity__word_properties,ad8,elastic,,bca,"1.49591, (1.26274, 1.80196)","3.00047, (2.20185, 4.48562)","0.05327, (-0.04485, 0.25468)",-0.04485
agradable,speech_timing__word_properties,ad8,ridge,,bca,"1.45187, (1.23378, 1.78045)","2.88967, (2.09179, 4.40215)","0.08822, (0.00139, 0.31851)",0.00139
agradable,verbosity,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
agradable,verbosity__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
agradable,word_properties,ad8,ridge,,bca,"1.50801, (1.27712, 1.82965)","3.15591, (2.25333, 4.62411)","0.00422, (-0.02577, 0.05350)",-0.02577
agradable__rutina,pitch__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)",-0.02448
agradable__rutina,sentiment__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)",-0.02448
