task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score
agradable,pitch,ad8,ridge,,bca,"1.52412, (1.29162, 1.83293)","3.21738, (2.34874, 4.82169)","-0.01518, (-0.08883, 0.04563)"
agradable,sentiment,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,sentiment,ad8,ridge,,bca,"1.53538, (1.30864, 1.85860)","3.22276, (2.33163, 4.76371)","-0.01687, (-0.03803, 0.01904)"
agradable,sentiment__speech_timing,ad8,elastic,,bca,"1.54904, (1.32096, 1.87014)","3.27015, (2.37938, 4.81581)","-0.03183, (-0.07412, 0.01997)"
agradable,sentiment__speech_timing,ad8,ridge,,bca,"1.47087, (1.25670, 1.80156)","2.95111, (2.16539, 4.47402)","0.06884, (-0.02354, 0.31463)"
agradable,sentiment__speech_timing__word_properties,ad8,elastic,,bca,"1.51537, (1.27809, 1.83964)","3.17342, (2.26823, 4.69384)","-0.00130, (-0.02863, 0.04528)"
agradable,sentiment__speech_timing__word_properties,ad8,ridge,,bca,"1.44779, (1.22664, 1.77360)","2.88787, (2.08804, 4.42666)","0.08879, (-0.00182, 0.32667)"
agradable,sentiment__word_properties,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,sentiment__word_properties,ad8,ridge,,bca,"1.51248, (1.28264, 1.83543)","3.16584, (2.27340, 4.65886)","0.00109, (-0.03256, 0.05524)"
agradable,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,speech_timing,rudas,knnr,,bca,"3.18738, (2.50036, 3.90718)","16.23339, (10.89832, 23.85321)","-0.10020, (-0.21634, -0.00793)"
agradable,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,speech_timing,rudas,ridge,,bca,"3.08541, (2.44335, 3.83850)","15.55096, (10.30217, 23.18230)","-0.05394, (-0.10471, -0.00147)"
agradable,speech_timing,rudas,svr,,bca,"3.11660, (2.49138, 3.93980)","15.74403, (10.51672, 23.32194)","-0.06703, (-0.15243, 0.02752)"
agradable,speech_timing,ad8,elastic,,bca,"1.53513, (1.30889, 1.85929)","3.22126, (2.33593, 4.77214)","-0.01640, (-0.03782, 0.01947)"
agradable,speech_timing,ad8,knnr,,bca,"1.58728, (1.33039, 1.92677)","3.52573, (2.51148, 5.34442)","-0.11247, (-0.22871, 0.00494)"
agradable,speech_timing,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,speech_timing,ad8,ridge,,bca,"1.47034, (1.25335, 1.79442)","2.94147, (2.14824, 4.48720)","0.07188, (-0.02111, 0.31629)"
agradable,speech_timing,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable,speech_timing__verbosity,ad8,elastic,,bca,"1.44792, (1.21969, 1.76214)","2.90524, (2.11750, 4.41771)","0.08331, (-0.03348, 0.35813)"
agradable,speech_timing__verbosity,ad8,knnr,,bca,"1.52563, (1.28014, 1.85508)","3.24666, (2.34860, 4.86027)","-0.02442, (-0.16373, 0.10514)"
agradable,speech_timing__verbosity,ad8,lasso,,bca,"1.58709, (1.33488, 1.93482)","3.49688, (2.59992, 4.92359)","-0.10337, (-0.30275, 0.03303)"
agradable,speech_timing__verbosity,ad8,ridge,,bca,"1.54959, (1.32398, 1.87052)","3.23576, (2.35260, 4.76369)","-0.02098, (-0.05017, 0.01979)"
agradable,speech_timing__verbosity,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable,speech_timing__verbosity__word_properties,ad8,elastic,,bca,"1.49591, (1.26274, 1.80196)","3.00047, (2.20185, 4.48562)","0.05327, (-0.04485, 0.25468)"
agradable,speech_timing__verbosity__word_properties,ad8,knnr,,bca,"1.54062, (1.30071, 1.86318)","3.29063, (2.41579, 4.83617)","-0.03829, (-0.13968, 0.07497)"
agradable,speech_timing__verbosity__word_properties,ad8,lasso,,bca,"1.59584, (1.34929, 1.93409)","3.51091, (2.59775, 4.92749)","-0.10779, (-0.32773, 0.02688)"
agradable,speech_timing__verbosity__word_properties,ad8,ridge,,bca,"1.55303, (1.32109, 1.86507)","3.26045, (2.38386, 4.81560)","-0.02877, (-0.06470, 0.02510)"
agradable,speech_timing__verbosity__word_properties,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,speech_timing__word_properties,rudas,knnr,,bca,"3.07256, (2.41739, 3.86146)","15.68559, (10.35766, 22.93139)","-0.06307, (-0.14067, 0.01364)"
agradable,speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,speech_timing__word_properties,rudas,ridge,,bca,"3.13374, (2.47070, 3.95690)","16.24370, (10.66623, 24.14338)","-0.10089, (-0.25450, -0.02024)"
agradable,speech_timing__word_properties,rudas,svr,,bca,"3.11660, (2.49138, 3.93980)","15.74403, (10.51672, 23.32194)","-0.06703, (-0.15243, 0.02752)"
agradable,speech_timing__word_properties,ad8,elastic,,bca,"1.53522, (1.30862, 1.85824)","3.22144, (2.33590, 4.77131)","-0.01646, (-0.03771, 0.01935)"
agradable,speech_timing__word_properties,ad8,knnr,,bca,"1.56030, (1.33048, 1.89765)","3.35925, (2.42540, 4.81221)","-0.05994, (-0.20548, 0.05961)"
agradable,speech_timing__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,speech_timing__word_properties,ad8,ridge,,bca,"1.45187, (1.23378, 1.78045)","2.88967, (2.09179, 4.40215)","0.08822, (0.00139, 0.31851)"
agradable,speech_timing__word_properties,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable,verbosity,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,verbosity,ad8,knnr,,bca,"1.50547, (1.26934, 1.81817)","3.11616, (2.24638, 4.59217)","0.01676, (-0.04733, 0.11799)"
agradable,verbosity,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,verbosity,ad8,ridge,,bca,"1.53781, (1.31063, 1.86019)","3.23015, (2.34548, 4.78038)","-0.01921, (-0.04082, 0.01698)"
agradable,verbosity,ad8,svr,,bca,"1.53249, (1.27427, 1.87658)","3.41811, (2.39773, 5.07971)","-0.07851, (-0.19314, 0.02973)"
agradable,verbosity__word_properties,ad8,elastic,,bca,"1.57286, (1.31805, 1.88365)","3.39668, (2.43284, 4.87433)","-0.07175, (-0.24533, 0.00635)"
agradable,verbosity__word_properties,ad8,knnr,,bca,"1.52364, (1.25355, 1.88377)","3.43909, (2.34959, 5.06887)","-0.08513, (-0.23737, 0.05392)"
agradable,verbosity__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,verbosity__word_properties,ad8,ridge,,bca,"1.53720, (1.30904, 1.85855)","3.22823, (2.34239, 4.77670)","-0.01860, (-0.03994, 0.01735)"
agradable,verbosity__word_properties,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable,word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,word_properties,rudas,knnr,,bca,"3.09090, (2.42839, 3.90813)","15.92163, (10.46656, 23.41074)","-0.07907, (-0.22766, 0.02399)"
