task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score
agradable,word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable,word_properties,rudas,ridge,,bca,"3.13344, (2.45200, 3.92881)","16.22390, (10.58829, 23.85553)","-0.09955, (-0.19214, -0.01976)"
agradable,word_properties,rudas,svr,,bca,"3.11660, (2.49138, 3.93980)","15.74403, (10.51672, 23.32194)","-0.06703, (-0.15243, 0.02752)"
agradable,word_properties,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,word_properties,ad8,knnr,,bca,"1.54561, (1.31226, 1.90122)","3.26225, (2.34362, 4.92359)","-0.02933, (-0.17778, 0.09901)"
agradable,word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable,word_properties,ad8,ridge,,bca,"1.50801, (1.27712, 1.82965)","3.15591, (2.25333, 4.62411)","0.00422, (-0.02577, 0.05350)"
agradable,word_properties,ad8,svr,,bca,"1.54009, (1.28216, 1.88313)","3.40992, (2.40155, 5.11201)","-0.07593, (-0.17133, 0.06270)"
agradable__rutina,pitch__dem,rudas,elastic,,bca,"3.02625, (2.40071, 3.80329)","14.73997, (9.90105, 22.16959)","0.00102, (-0.08857, 0.10385)"
agradable__rutina,pitch__dem,rudas,knnr,,bca,"3.04029, (2.43881, 3.73766)","14.71962, (9.85132, 23.70645)","0.00240, (-0.15153, 0.16681)"
agradable__rutina,pitch__dem,rudas,lasso,,bca,"3.03220, (2.39289, 3.78145)","15.06875, (9.95229, 22.63648)","-0.02126, (-0.06771, 0.03046)"
agradable__rutina,pitch__dem,rudas,ridge,,bca,"3.02038, (2.32568, 3.70992)","14.86051, (10.18454, 21.31380)","-0.00715, (-0.12238, 0.11129)"
agradable__rutina,pitch__dem,rudas,svr,,bca,"3.10596, (2.44650, 3.85298)","15.68951, (10.32220, 22.88590)","-0.06333, (-0.12397, 0.00006)"
agradable__rutina,pitch__dem,ad8,elastic,,bca,"1.53531, (1.30861, 1.85835)","3.22246, (2.33043, 4.76404)","-0.01678, (-0.03789, 0.01896)"
agradable__rutina,pitch__dem,ad8,knnr,,bca,"1.54689, (1.30620, 1.87500)","3.29057, (2.35487, 4.85667)","-0.03827, (-0.19288, 0.09532)"
agradable__rutina,pitch__dem,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina,pitch__dem,ad8,ridge,,bca,"1.56755, (1.34460, 1.88026)","3.31353, (2.41273, 4.91248)","-0.04551, (-0.11552, 0.01674)"
agradable__rutina,pitch__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)"
agradable__rutina,sentiment__dem,rudas,elastic,,bca,"3.12913, (2.45809, 3.83975)","15.32429, (10.31834, 21.70030)","-0.03858, (-0.18572, 0.11091)"
agradable__rutina,sentiment__dem,rudas,knnr,,bca,"3.27603, (2.64099, 3.93340)","15.90727, (11.30971, 22.57212)","-0.07809, (-0.32922, 0.13240)"
agradable__rutina,sentiment__dem,rudas,lasso,,bca,"3.21663, (2.56270, 3.90808)","15.77790, (10.61180, 22.74140)","-0.06933, (-0.27132, 0.13525)"
agradable__rutina,sentiment__dem,rudas,ridge,,bca,"3.22748, (2.54147, 3.92203)","16.03133, (10.70133, 22.08360)","-0.08650, (-0.30533, 0.09567)"
agradable__rutina,sentiment__dem,rudas,svr,,bca,"3.10693, (2.45113, 3.85463)","15.69466, (10.33366, 22.87133)","-0.06368, (-0.12585, 0.00098)"
agradable__rutina,sentiment__dem,ad8,elastic,,bca,"1.53538, (1.30884, 1.85958)","3.22266, (2.33121, 4.76388)","-0.01684, (-0.03801, 0.01886)"
agradable__rutina,sentiment__dem,ad8,knnr,,bca,"1.57055, (1.31258, 1.91231)","3.45201, (2.55396, 5.10208)","-0.08921, (-0.21702, 0.03695)"
agradable__rutina,sentiment__dem,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina,sentiment__dem,ad8,ridge,,bca,"1.53906, (1.31307, 1.86756)","3.26666, (2.38276, 4.77765)","-0.03073, (-0.06126, 0.01862)"
agradable__rutina,sentiment__dem,ad8,svr,,bca,"1.43842, (1.18181, 1.77027)","3.04459, (2.18153, 4.58599)","0.03935, (-0.02448, 0.15442)"
agradable__rutina,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina,speech_timing,rudas,knnr,,bca,"3.08874, (2.39797, 3.86503)","15.92593, (10.42743, 23.07375)","-0.07936, (-0.18830, 0.03836)"
agradable__rutina,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina,speech_timing,rudas,ridge,,bca,"3.07802, (2.41912, 3.81819)","15.47981, (10.24075, 23.12114)","-0.04912, (-0.09122, -0.00020)"
agradable__rutina,speech_timing,rudas,svr,,bca,"3.10459, (2.45043, 3.84872)","15.66820, (10.43917, 23.10893)","-0.06189, (-0.12534, 0.01030)"
agradable__rutina,speech_timing,ad8,elastic,,bca,"1.53575, (1.31002, 1.86165)","3.22237, (2.33745, 4.77197)","-0.01675, (-0.03779, 0.01889)"
agradable__rutina,speech_timing,ad8,knnr,,bca,"1.54436, (1.32919, 1.85875)","3.17604, (2.34278, 4.68242)","-0.00213, (-0.06317, 0.07298)"
agradable__rutina,speech_timing,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina,speech_timing,ad8,ridge,,bca,"1.53507, (1.31396, 1.84874)","3.17475, (2.33401, 4.72444)","-0.00173, (-0.04035, 0.06623)"
agradable__rutina,speech_timing,ad8,svr,,bca,"1.48315, (1.18208, 1.93085)","3.72723, (2.44098, 5.93903)","-0.17605, (-0.46087, -0.00031)"
agradable__rutina,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina,speech_timing__word_properties,rudas,knnr,,bca,"3.17508, (2.50959, 3.92749)","16.18298, (10.66997, 23.32213)","-0.09678, (-0.19731, -0.01234)"
agradable__rutina,speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina,speech_timing__word_properties,rudas,ridge,,bca,"3.08058, (2.42205, 3.82459)","15.49899, (10.25571, 23.12988)","-0.05042, (-0.09284, -0.00157)"
agradable__rutina,speech_timing__word_properties,rudas,svr,,bca,"3.10459, (2.45043, 3.84872)","15.66820, (10.43917, 23.10893)","-0.06189, (-0.12534, 0.01030)"
agradable__rutina,speech_timing__word_properties,ad8,elastic,,bca,"1.38892, (1.14619, 1.69791)","2.81766, (2.00283, 4.35688)","0.11095, (-0.00548, 0.41914)"
agradable__rutina,speech_timing__word_properties,ad8,knnr,,bca,"1.50599, (1.26642, 1.86322)","3.22370, (2.30236, 4.81043)","-0.01717, (-0.12153, 0.11648)"
agradable__rutina,speech_timing__word_properties,ad8,lasso,,bca,"1.46699, (1.23046, 1.76185)","2.97767, (2.20097, 4.25238)","0.06046, (-0.02305, 0.22576)"
agradable__rutina,speech_timing__word_properties,ad8,ridge,,bca,"1.45314, (1.22615, 1.75171)","2.89915, (2.06831, 4.40409)","0.08523, (0.01285, 0.16120)"
agradable__rutina,speech_timing__word_properties,ad8,svr,,bca,"1.48315, (1.18208, 1.93085)","3.72723, (2.44098, 5.93903)","-0.17605, (-0.46087, -0.00031)"
agradable__rutina,word_properties,rudas,elastic,,bca,"3.15816, (2.48118, 3.90006)","16.14468, (10.66301, 23.38796)","-0.09418, (-0.21013, 0.01550)"
agradable__rutina,word_properties,rudas,knnr,,bca,"3.06496, (2.39567, 3.82638)","15.74977, (10.21592, 22.93547)","-0.06742, (-0.12870, 0.00012)"
agradable__rutina,word_properties,rudas,lasso,,bca,"3.48123, (2.69876, 4.39940)","19.21765, (12.17644, 30.44252)","-0.30245, (-1.40697, -0.06569)"
agradable__rutina,word_properties,rudas,ridge,,bca,"3.12125, (2.45845, 3.89877)","15.94580, (10.39064, 23.53799)","-0.08070, (-0.16541, -0.00322)"
agradable__rutina,word_properties,rudas,svr,,bca,"3.10577, (2.45279, 3.85106)","15.67936, (10.47311, 23.13881)","-0.06265, (-0.12594, 0.00571)"
agradable__rutina,word_properties,ad8,elastic,,bca,"1.42068, (1.17627, 1.72016)","2.86005, (1.97139, 4.22958)","0.09757, (-0.00605, 0.28559)"
agradable__rutina,word_properties,ad8,knnr,,bca,"1.52547, (1.26011, 1.95758)","3.65258, (2.53435, 5.64855)","-0.15249, (-0.46775, 0.03444)"
agradable__rutina,word_properties,ad8,lasso,,bca,"1.47075, (1.22945, 1.79061)","3.04262, (2.17771, 4.50232)","0.03996, (-0.00987, 0.12272)"
agradable__rutina,word_properties,ad8,ridge,,bca,"1.48546, (1.26082, 1.77842)","3.00626, (2.16661, 4.46175)","0.05144, (0.01443, 0.12825)"
agradable__rutina,word_properties,ad8,svr,,bca,"1.48315, (1.18208, 1.93085)","3.72723, (2.44098, 5.93903)","-0.17605, (-0.46087, -0.00031)"
agradable__rutina__video_retelling,speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina__video_retelling,speech_timing,rudas,knnr,,bca,"3.14629, (2.46710, 3.89880)","16.01747, (10.77682, 23.20662)","-0.08556, (-0.16404, -0.00792)"
agradable__rutina__video_retelling,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina__video_retelling,speech_timing,rudas,ridge,,bca,"3.07818, (2.41969, 3.81824)","15.47556, (10.23074, 23.12442)","-0.04884, (-0.09092, 0.00016)"
agradable__rutina__video_retelling,speech_timing,rudas,svr,,bca,"3.10596, (2.44650, 3.85298)","15.68951, (10.32220, 22.88590)","-0.06333, (-0.12397, 0.00006)"
agradable__rutina__video_retelling,speech_timing,ad8,elastic,,bca,"1.53738, (1.29923, 1.85519)","3.27030, (2.38163, 4.81781)","-0.03187, (-0.14759, 0.07033)"
agradable__rutina__video_retelling,speech_timing,ad8,knnr,,bca,"1.46160, (1.20691, 1.78817)","3.10215, (2.18400, 4.84946)","0.02118, (-0.08176, 0.15904)"
agradable__rutina__video_retelling,speech_timing,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina__video_retelling,speech_timing,ad8,ridge,,bca,"1.51428, (1.29066, 1.84729)","3.13401, (2.28894, 4.68691)","0.01113, (-0.03753, 0.09361)"
agradable__rutina__video_retelling,speech_timing,ad8,svr,,bca,"1.58936, (1.34601, 1.91144)","3.45510, (2.54780, 4.90999)","-0.09018, (-0.43032, 0.00489)"
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,knnr,,bca,"3.14110, (2.48500, 3.90214)","15.71313, (10.36928, 22.76903)","-0.06494, (-0.15601, 0.02798)"
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,ridge,,bca,"3.07930, (2.42156, 3.82246)","15.48403, (10.24009, 23.13337)","-0.04941, (-0.09125, -0.00011)"
agradable__rutina__video_retelling,speech_timing__word_properties,rudas,svr,,bca,"3.10596, (2.44650, 3.85298)","15.68951, (10.32220, 22.88590)","-0.06333, (-0.12397, 0.00006)"
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,elastic,,bca,"1.53579, (1.30996, 1.86070)","3.22176, (2.34586, 4.77822)","-0.01656, (-0.03763, 0.01913)"
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,knnr,,bca,"1.49532, (1.22686, 1.83772)","3.27303, (2.28550, 5.00707)","-0.03274, (-0.12234, 0.04703)"
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.48107, (1.25263, 1.78558)","2.99484, (2.18241, 4.49812)","0.05504, (-0.00366, 0.16826)"
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,svr,,bca,"1.53766, (1.31223, 1.85799)","3.22113, (2.33416, 4.72553)","-0.01636, (-0.03800, 0.01891)"
agradable__rutina__video_retelling,word_properties,rudas,elastic,,bca,"3.14870, (2.48687, 3.85824)","15.83187, (10.53979, 22.60810)","-0.07298, (-0.16389, 0.01906)"
agradable__rutina__video_retelling,word_properties,rudas,knnr,,bca,"3.14675, (2.46499, 3.89539)","16.18828, (10.63792, 23.63014)","-0.09714, (-0.17334, -0.01123)"
agradable__rutina__video_retelling,word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
agradable__rutina__video_retelling,word_properties,rudas,ridge,,bca,"3.08208, (2.42060, 3.82414)","15.46045, (10.22079, 22.78396)","-0.04781, (-0.09655, 0.00913)"
agradable__rutina__video_retelling,word_properties,rudas,svr,,bca,"3.10596, (2.44650, 3.85298)","15.68951, (10.32220, 22.88590)","-0.06333, (-0.12397, 0.00006)"
agradable__rutina__video_retelling,word_properties,ad8,elastic,,bca,"1.48442, (1.23996, 1.80940)","3.08561, (2.20607, 4.56258)","0.02640, (-0.04465, 0.22130)"
agradable__rutina__video_retelling,word_properties,ad8,knnr,,bca,"1.46965, (1.20667, 1.81942)","3.23252, (2.22801, 4.86972)","-0.01996, (-0.11921, 0.09327)"
agradable__rutina__video_retelling,word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
agradable__rutina__video_retelling,word_properties,ad8,ridge,,bca,"1.47543, (1.24235, 1.76244)","2.97170, (2.12040, 4.27066)","0.06234, (0.00132, 0.21525)"
agradable__rutina__video_retelling,word_properties,ad8,svr,,bca,"1.53766, (1.31223, 1.85799)","3.22113, (2.33416, 4.72553)","-0.01636, (-0.03800, 0.01891)"
rutina,pitch,rudas,elastic,,bca,"3.08071, (2.43970, 3.83785)","15.48872, (10.19208, 23.09943)","-0.04973, (-0.09316, -0.00301)"
rutina,pitch,rudas,knnr,,bca,"3.28253, (2.61801, 4.01683)","16.63747, (11.26407, 24.34252)","-0.12758, (-0.23108, -0.01083)"
rutina,pitch,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,pitch,rudas,ridge,,bca,"3.17647, (2.48136, 3.91468)","16.16603, (10.80109, 23.26073)","-0.09563, (-0.18207, 0.00203)"
rutina,pitch,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,pitch__speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment,rudas,elastic,,bca,"3.06368, (2.42221, 3.82221)","15.44563, (10.17417, 23.04484)","-0.04681, (-0.08768, 0.00777)"
rutina,sentiment,rudas,knnr,,bca,"3.28067, (2.58470, 4.00915)","16.89608, (11.29858, 25.52570)","-0.14511, (-0.29197, 0.02822)"
rutina,sentiment,rudas,lasso,,bca,"3.23748, (2.51342, 4.00709)","17.37120, (11.45597, 24.57008)","-0.17731, (-0.45361, -0.03620)"
rutina,sentiment,rudas,ridge,,bca,"3.28012, (2.55142, 4.05150)","17.45907, (11.59929, 24.73673)","-0.18326, (-0.46996, -0.04336)"
rutina,sentiment,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37884, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,sentiment,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
rutina,sentiment,ad8,knnr,,bca,"1.48099, (1.23047, 1.86176)","3.29923, (2.27563, 5.28898)","-0.04100, (-0.17052, 0.06535)"
rutina,sentiment,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
rutina,sentiment,ad8,ridge,,bca,"1.54131, (1.31478, 1.86370)","3.23634, (2.35296, 4.80208)","-0.02116, (-0.04374, 0.01289)"
rutina,sentiment,ad8,svr,,bca,"1.59969, (1.26358, 2.09944)","4.39334, (2.87360, 7.14654)","-0.38623, (-1.01504, -0.10207)"
rutina,sentiment__speech_timing,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment__speech_timing,rudas,knnr,,bca,"3.17573, (2.48921, 3.94130)","16.39132, (10.83768, 24.31511)","-0.11090, (-0.20032, 0.00589)"
rutina,sentiment__speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment__speech_timing,rudas,ridge,,bca,"3.10998, (2.44219, 3.83457)","15.72448, (10.34282, 22.99536)","-0.06570, (-0.11615, -0.00333)"
rutina,sentiment__speech_timing,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,sentiment__speech_timing,ad8,elastic,,bca,"1.52358, (1.27052, 1.79186)","3.09849, (2.25194, 4.19801)","0.02234, (-0.17288, 0.22621)"
rutina,sentiment__speech_timing,ad8,knnr,,bca,"1.53397, (1.30698, 1.86285)","3.21012, (2.36747, 4.84096)","-0.01289, (-0.13483, 0.10537)"
rutina,sentiment__speech_timing,ad8,lasso,,bca,"1.53151, (1.29134, 1.79802)","3.06428, (2.27940, 4.14800)","0.03313, (-0.22627, 0.30817)"
rutina,sentiment__speech_timing,ad8,ridge,,bca,"1.55094, (1.33113, 1.85984)","3.23735, (2.35751, 4.71299)","-0.02148, (-0.05308, 0.03348)"
