random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,video_retelling__word_properties__mean_log_frq,video_retelling__word_properties__mean_num_phonemes,video_retelling__word_properties__mean_num_syll,video_retelling__word_properties__mean_phon_neigh
3,0,[None],,1,23,0.001,1,1,1,1
3,1,[None],,4,146,0.612241041827657,1,1,1,1
3,2,[None],,1,149,0.001,1,1,1,1
3,3,[None],,1,454,0.2595212016184169,1,1,1,1
3,4,[None],,5,93,0.9999992256278112,1,1,1,1
