random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],-0.06340314061086416,7,25,0.001,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3,1,[None],-0.24145138119705511,2,22,0.11866421040656543,0,1,1,1,0,0,1,1,1,1,1,0,1,1
3,2,[None],-0.05903262773290141,2,143,0.001,0,1,1,1,1,0,1,0,1,1,1,0,1,0
3,3,[None],0.33711066994034333,2,23,0.3260050004325011,1,1,1,0,1,0,1,1,0,0,1,0,0,1
3,4,[None],-0.046263270784096644,1,19,0.001,1,1,1,1,0,1,1,1,1,1,1,1,1,0
