random_seed,fold,threshold,r2,alpha,agradable__sentiment__NEG,agradable__sentiment__NEU,agradable__sentiment__POS,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__syllable_duration_kurtosis,agradable__speech_timing__syllable_duration_skewness,agradable__speech_timing__syllable_duration_max,agradable__speech_timing__syllable_duration_min,agradable__speech_timing__pause_duration_kurtosis,agradable__speech_timing__pause_duration_skewness,agradable__speech_timing__pause_duration_max,agradable__speech_timing__pause_duration_min,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],0.06399758477292672,327.82048407846685,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1
3,1,[None],0.04254037704924918,205.84495275217952,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1
3,2,[None],-0.021858191704667185,205.84495275217952,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
3,3,[None],0.15895983686871296,205.84495275217952,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1
3,4,[None],0.09242063539975964,205.84495275217952,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
