random_seed,fold,threshold,r2,alpha,l1_ratio,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__syllable_duration_kurtosis,rutina__speech_timing__syllable_duration_skewness,rutina__speech_timing__syllable_duration_max,rutina__speech_timing__syllable_duration_min,rutina__speech_timing__pause_duration_kurtosis,rutina__speech_timing__pause_duration_skewness,rutina__speech_timing__pause_duration_max,rutina__speech_timing__pause_duration_min,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std
3,0,[None],0.08457776614759949,0.16737277912442955,0.8907517031004873,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1
3,1,[None],0.07885402212250103,0.16737277912442955,0.8907517031004873,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0
3,2,[None],0.05866912654582246,0.16737277912442955,0.8907517031004873,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
3,3,[None],0.033776798136906705,3.9848816589565845,0.0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1
3,4,[None],0.04677620065740229,0.1673731601700582,0.8907517031004873,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
