random_seed,fold,threshold,r2,alpha,rutina__speech_timing__nsyll,rutina__speech_timing__npauses,rutina__speech_timing__syllable_duration_kurtosis,rutina__speech_timing__syllable_duration_skewness,rutina__speech_timing__syllable_duration_max,rutina__speech_timing__syllable_duration_min,rutina__speech_timing__pause_duration_kurtosis,rutina__speech_timing__pause_duration_skewness,rutina__speech_timing__pause_duration_max,rutina__speech_timing__pause_duration_min,rutina__speech_timing__speechrate,rutina__speech_timing__mean_syllable_duration,rutina__speech_timing__syllable_duration_std,rutina__speech_timing__mean_pause_duration,rutina__speech_timing__pause_duration_std,rutina__word_properties__mean_log_frq,rutina__word_properties__mean_num_phonemes,rutina__word_properties__mean_num_syll,rutina__word_properties__mean_phon_neigh
3,0,[None],0.11897081772795903,0.08094512483869841,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
3,1,[None],0.18085645793668326,0.08120116968039161,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
3,2,[None],0.25920150033111133,0.08449053155821566,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0
3,3,[None],-0.03366583541147117,3745.401194728224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,[None],0.13989301295529732,0.15771746018545196,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
