random_seed,fold,threshold,r2,n_neighbors,agradable__speech_timing__nsyll,agradable__speech_timing__npauses,agradable__speech_timing__speechrate,agradable__speech_timing__mean_syllable_duration,agradable__speech_timing__syllable_duration_std,agradable__speech_timing__mean_pause_duration,agradable__speech_timing__pause_duration_std
3,0,[None],-0.07843106623937346,27,0,1,1,1,1,1,1
3,1,[None],-0.06708413248562217,27,1,1,1,1,1,1,1
3,2,[None],-0.08216112479575477,27,1,1,1,1,1,1,1
3,3,[None],-0.015196384039900313,20,1,0,1,1,1,0,1
3,4,[None],-0.030376552795031042,14,1,1,1,1,1,1,1
