random_seed,fold,threshold,roc_auc,C,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.8698347107438016,1.4940977175162453,1,1,1,1,1,0
3,1,[None],0.8491735537190084,0.6287278555580958,0,0,1,0,1,0
3,2,[None],0.8192148760330579,12.203911280654397,0,0,0,1,1,0
9,0,[None],0.915289256198347,0.0001,0,0,1,0,1,0
9,1,[None],0.7954545454545454,0.5169900506666086,0,0,1,1,1,0
9,2,[None],0.871900826446281,2.5411764136994814,0,1,1,1,1,1
27,0,[None],0.8719008264462811,0.7169404603450562,1,0,1,1,0,1
27,1,[None],0.8822314049586776,0.0001,1,0,1,0,1,1
27,2,[None],0.8326446280991736,0.0001,0,0,1,0,1,0
81,0,[None],0.8698347107438016,2.6676014808364132,0,0,1,1,1,0
81,1,[None],0.8305785123966941,0.5847019428478387,1,1,0,0,1,0
81,2,[None],0.8264462809917356,0.0001,0,0,1,1,1,0
243,0,[None],0.7933884297520661,0.0001,0,1,1,1,1,1
243,1,[None],0.9318181818181818,3.4389486726697283,1,1,1,1,1,1
243,2,[None],0.8553719008264463,1.1608292779946867,0,0,1,1,1,0
729,0,[None],0.8491735537190083,1.2056558619419495,0,0,1,1,1,0
729,1,[None],0.8285123966942148,15.601948442379607,0,0,1,1,1,0
729,2,[None],0.9173553719008265,4.301419781099587,0,0,1,1,1,1
2187,0,[None],0.865702479338843,0.650792618433951,0,0,1,1,1,0
2187,1,[None],0.865702479338843,1.5448113626217108,0,0,1,1,1,0
2187,2,[None],0.8533057851239669,0.013621429469909397,0,1,1,0,1,1
6561,0,[None],0.9111570247933884,0.8983334678601989,1,1,1,1,1,0
6561,1,[None],0.8388429752066117,0.0001,0,0,0,0,1,1
6561,2,[None],0.8305785123966942,0.0001,0,0,1,1,1,0
19683,0,[None],0.8471074380165289,95.07143556956098,1,1,1,0,1,0
19683,1,[None],0.8657024793388429,0.0001,0,0,1,0,1,1
19683,2,[None],0.8409090909090909,3.4389486726697283,1,1,0,1,1,0
59049,0,[None],0.9173553719008265,0.0001,1,0,1,1,1,0
59049,1,[None],0.8657024793388429,2.0585473711308153,0,0,1,1,1,0
59049,2,[None],0.8223140495867769,0.9516700147781547,1,1,1,1,1,0
