feature,importance
brain__norm_brain_lit__lIFGtriang,0.30546963
brain__norm_brain_lit__lMCC,0.094155684
brain__norm_brain_lit__rREC,0.07051375
brain__norm_brain_lit__rIFGoperc,0.064932875
brain__norm_brain_lit__lROL,0.06090225
brain__norm_brain_lit__lITG,0.060107518
brain__norm_brain_lit__lTPOmid,0.05793906
brain__norm_brain_lit__lSTG,0.037533253
brain__norm_brain_lit__rTPOsup,0.034336146
brain__norm_brain_lit__rPCUN,0.0326648
brain__norm_brain_lit__lPCC,0.025306398
brain__norm_brain_lit__rITG,0.022714406
brain__norm_brain_lit__rSTG,0.022264518
brain__norm_brain_lit__lINS,0.020142263
brain__norm_brain_lit__rMCC,0.018642133
brain__norm_brain_lit__lPCUN,0.014253914
brain__norm_brain_lit__lIFGoperc,0.012374386
brain__norm_brain_lit__lPFCventmed,0.010160178
brain__norm_brain_lit__lMTG,0.007387072
brain__norm_brain_lit__rTPOmid,0.006962346
brain__norm_brain_lit__rROL,0.0052845017
brain__norm_brain_lit__lPHG,0.0039360314
brain__norm_brain_lit__rINS,0.0033812858
brain__norm_brain_lit__rPHG,0.0028549146
brain__norm_brain_lit__rPFCventmed,0.0025001862
brain__norm_brain_lit__lTPOsup,0.0016505504
brain__norm_brain_lit__lHIP,0.00095130433
brain__norm_brain_lit__rIFGtriang,0.0006786093
brain__norm_brain_lit__lREC,0.0
brain__norm_brain_lit__rHIP,0.0
brain__norm_brain_lit__rMTG,0.0
