random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,rutina__sentiment__NEG,rutina__sentiment__NEU,rutina__sentiment__POS
3,0,[None],-0.08181740092623446,1,466,0.001,0,0,1
3,1,[None],-0.08433415241785891,2,484,0.001,1,0,0
3,2,[None],0.11742438684729462,2,146,0.43183540027077866,1,1,0
3,3,[None],-0.04418048021728049,1,100,0.001,1,0,1
3,4,[None],-0.08135706827969602,1,433,0.8667888697961379,1,0,0
