random_seed,fold,threshold,r2,max_depth,n_estimators,learning_rate,agradable__word_properties__mean_log_frq,agradable__word_properties__mean_num_phonemes,agradable__word_properties__mean_num_syll,agradable__word_properties__mean_phon_neigh
3,0,[None],,4,6,0.001,1,1,1,1
3,1,[None],,8,155,0.5591717886072414,1,1,1,1
3,2,[None],,7,148,0.001,1,1,1,1
3,3,[None],,5,471,0.001,1,1,1,1
3,4,[None],,4,148,0.001,1,1,1,1
