feature,importance
Animales__vr__count,0.54333586
Animales__properties__sa_NP__promedio,0.10284201
Animales__properties__log_frq_promedio,0.09261054
Animales__properties__sa_num_syll_std,0.06868999
Animales__properties__granularidad_std,0.06508216
Animales__properties__sa_NP__std,0.037447557
Animales__properties__sa_num_syll_promedio,0.035334405
Animales__properties__granularidad_promedio,0.023119805
Animales__properties__log_frq_std,0.016336694
Animales__properties__sa_num_phon_promedio,0.009958429
Animales__properties__concreteness_imputada_promedio,0.0052425773
Animales__properties__sa_num_phon_std,0.0
Animales__properties__concreteness_imputada_std,0.0
